username,followersCount,location_x,id,id_str,rawcontent,replyCount,retweetCount,likeCount,quoteCount,hashtags,created,date_created,time_created,location_clean,cleaned_content,sentiment,location_y,latitude,longitude
cnnbrk,63937244,Everywhere,1584602713077256197,1584602713077256197,The US Justice Department has unsealed charges against two alleged Chinese spies who are accused of interfering with a federal prosecution of China-based telecommunications company Huawei https://t.co/LmB1dBu9f8,129,409,1056,63,[],1/2/2007 1:48,1/2/2007,1:48:14,Everywhere,Justice Department charges Chinese spies prosecution telecommunications company Huawei httpstcoLmBdBuf,neutral,Everywhere,39.6262264,19.9036023
CNN,62267641,,1584618345114095618,1584618345114095618,The US Justice Department has unsealed charges against two alleged Chinese spies who are accused of interfering with a federal prosecution of China-based telecommunications company Huawei https://t.co/5SS2EKK3Il,64,109,272,14,[],2/9/2007 0:35,2/9/2007,0:35:02,Unknown,Justice Department charges Chinese spies prosecution telecommunications company Huawei httpstcoSSEKKIl,neutral,Unknown,22.8503716,80.6884128
thehill,4434924,"Washington, DC",1584606740150161412,1584606740150161412,#BREAKING: 2 Chinese officers charged in plot to obstruct Huawei probe https://t.co/hOOuZUaRO3 https://t.co/0AcV7FmmCX,25,76,206,14,['BREAKING'],3/22/2007 18:15,3/22/2007,18:15:18,"Washington, DC",Chinese officers plot obstruct Huawei probe httpstcoAcVFmmCX,neutral,"Washington, DC",38.8950368,-77.0365427
WSJ,20654830,"New York, NY",1587915480215523330,1587915480215523330,"When Donald Trump heard Canada had arrested Huawei's CFO on behalf of U.S. prosecutors, he was surprised. ""Don’t you know she’s the Ivanka Trump of China?” https://t.co/Ds6lE1tqZf",15,13,38,3,[],4/1/2007 6:22,4/1/2007,6:22:13,"New York, NY",Donald Trump Canada Huaweis CFO behalf prosecutors Ivanka Trump China httpstcoDslEtqZf,neutral,"New York, NY",40.7127281,-74.0060152
WSJ,20654829,"New York, NY",1586217522969419777,1586217522969419777,"When Donald Trump heard Canada had arrested Huawei's CFO on behalf of U.S. prosecutors, he was surprised. ""Don’t you know she’s the Ivanka Trump of China?” https://t.co/z4ui1tEVnN",9,24,71,3,[],4/1/2007 6:22,4/1/2007,6:22:13,"New York, NY",Donald Trump Canada Huaweis CFO behalf prosecutors Ivanka Trump China httpstcozuitEVnN,neutral,"New York, NY",40.7127281,-74.0060152
WSJ,20654829,"New York, NY",1585843826761105414,1585843826761105414,"When Donald Trump heard Canada had arrested Huawei's CFO on behalf of U.S. prosecutors, he was surprised. ""Don’t you know she’s the Ivanka Trump of China?” https://t.co/E2anADgvJT",16,18,80,7,[],4/1/2007 6:22,4/1/2007,6:22:13,"New York, NY",Donald Trump Canada Huaweis CFO behalf prosecutors Ivanka Trump China,neutral,"New York, NY",40.7127281,-74.0060152
WSJ,20654829,"New York, NY",1585637481487425536,1585637481487425536,"When Donald Trump heard Canada had arrested Huawei's CFO on behalf of U.S. prosecutors, he was surprised. ""Don’t you know she’s the Ivanka Trump of China?” https://t.co/aVHU6ehsq6",12,32,85,8,[],4/1/2007 6:22,4/1/2007,6:22:13,"New York, NY",Donald Trump Canada Huaweis CFO behalf prosecutors Ivanka Trump China httpstcoaVHUehsq,neutral,"New York, NY",40.7127281,-74.0060152
bluetouff,27000,/dev/random,1573246729998278656,1573246729998278656,Vous recommandez quoi à flasher sur un vieux (pas si vieux) #HuaWei qui est obsolète grâce à ce pitre (ce mot n'est dans cette phrase que parce que je me suis autocensuré) de #trump ?,11,0,6,0,"['HuaWei', 'trump']",4/15/2007 13:39,4/15/2007,13:39:25,devrandom,,neutral,,,
zeitonline,2607599,"Berlin und Hamburg, Germany",1596325530827390977,1596325530827390977,In einem sind sich #US-Präsident Joe #Biden und sein Vorgänger Donald #Trump einig: in ihrer Skepsis gegenüber chinesischen Konzernen wie #Huawei. https://t.co/ujZwDo4t2z,1,4,9,0,"['US', 'Biden', 'Trump', 'Huawei']",5/2/2007 15:17,5/2/2007,15:17:01,"Berlin und Hamburg, Germany",,neutral,"Berlin und Hamburg, Germany",53.57532,10.01534
antisatanismo,606,"La Plata, Argentina",1597963000375578624,1597963000375578624,Hace 5 años cuando Trump empezó el lobby contra Huawei esto q hoy ya esta pasando era una hipótesis conspiranoica.,0,1,2,0,[],7/1/2007 17:38,7/1/2007,17:38:49,"La Plata, Argentina",,neutral,"La Plata, Argentina",-34.9206797,-57.9537638
